,fullName,position,origin,destination
1359,Maealiuaki Smith,QB,Oklahoma State,Ole Miss
1368,Emmanuel Karnley,CB,Miami,Virginia
1371,Keona Peat,IOL,Arizona State,Arizona
1372,Zac Yoakam,K,Notre Dame,Houston
1373,Davi Belfort,QB,Virginia Tech,UCF
1377,Nathan Leacock,WR,Purdue,North Carolina
1378,Troy Pikes,DL,Georgia Southern,South Carolina
1381,David Washington,WR,Utah,Purdue
1387,Brendan Bett,DL,Baylor,Florida
1388,Charles Correa,LB,UNLV,Purdue
1393,Chris Peal,CB,Georgia,Syracuse
1397,CJ Hester,RB,Massachusetts,Michigan
1398,Rico Walker,TE,Auburn,Purdue
1422,James Ferguson-Reynolds,P,Boise State,Oregon
1423,Ethan Myers,LS,Chattanooga,Mississippi State
1424,Malik Agbo,OT,Texas,West Virginia
1427,Taje McCoy,EDGE,Colorado,Oklahoma State
1434,Kannon Katzer,RB,Ferris State,West Virginia
1435,Tom Weston,P,Ouachita Baptist,Minnesota
1439,Timir Hickman-Collins,LB,Florida State,North Carolina
1451,Joshua Singh,DL,BYU,Vanderbilt
1457,Luke Bauer,P,Missouri,Michigan
1461,Leshon Williams,RB,Iowa,Kansas
1469,Dayton Sneed,WR,Tennessee,North Carolina
1472,Grayson Brousseau,TE,Utah State,Oklahoma State
1479,Jordan Larsen,IOL,South Dakota,Duke
1483,Cole Kozlowski,LB,Colgate,UCF
1489,Rino Monteforte,LS,Notre Dame,California
1491,JB Nelson,IOL,Penn State,Kansas State
1492,Greg Smith,S,Florida,North Carolina
1493,Ian Flynt,TE,Nebraska,NC State
1495,Keveion'ta Spears,DL,Memphis,SMU
1501,Noah King,CB,Kansas State,Colorado
1502,Kyle Cunanan,K,California,Nebraska
1503,Donovan Haslam,IOL,Austin Peay,West Virginia
1504,Marc Nave Jr.,IOL,Kentucky,Purdue
1505,Larry Johnson III,OT,Tennessee,Colorado
1507,Jer'Michael Carter,WR,McNeese,Oklahoma
1508,Lance Mason,TE,Missouri State,Wisconsin
1513,Terrill Davis,WR,Central Oklahoma,Oklahoma State
1514,Jamario Clements,RB,Duquesne,Wake Forest
1518,Khristian Dunbar-Hawkins,CB,UCLA,North Carolina
1528,Nitro Tuggle,WR,Georgia,Purdue
